country,name_english,name,ees,ches,ess
AT,The Greens,Die Grünen – Die grüne Alternative,1040110,1304,5
AT,Austrian Social Democratic Party,Sozialdemokratische Partei Österreichs (SPÖ),1040320,1301,1
AT,Austrian Freedom Party,Freiheitliche Partei Österreichs (FPÖ),1040420,1303,3
AT,NEOS - The New Austria and Lib,NEOS - Das Neue Österreich,1040423,1309,7
AT,Austrian People's Party,Österreichische Volkspartei (ÖVP),1040520,1302,2
AT,Alliance for the Future of Aus,Bündnis Zukunft Österreich (BZÖ),1040600,1307,4
BE,Ecologists,Ecolo,1056111,104,10
BE,Francophone Socialist Party,PS (Parti Socialiste),1056322,102,13
BE,Workers Party of Belgium  (PVD,PTB-go! (Parti du Travail de Belgique),1056325,,14
BE,Socialist Party Different,sp.a (Socialistische Partij – Anders),1056327,103,5
BE,Workers Party of Belgium (PTB-,PVDA+ | PTB-go! (Partij van de Arbeid – Parti du Travail de Belgique),1056335,,6
BE,Open Flemish Liberals and Demo,Open VLD (Vlaamse Liberalen en Democraten),1056421,107,8
BE,Reform Movement,MR (Mouvement Réformateur),1056427,106,12
BE,Christian Democratic and Flemi,CD&V (Christen-Democratisch en Vlaams),1056521,109,2
BE,Humanist Democratic Centre,cdH (Centre Démocrate Humaniste),1056522,108,9
BE,People's Party,Parti populaire (PP),1056601,120,15
BE,Flemish Interest,Vlaams Belang (VB),1056711,112,7
BE,New Flemish Alliance,N-VA (Nieuw-Vlaamse Alliantie),1056913,110,3
BG,Union of Democratic Forces,СДС,1100001,2002,
BG,Coalition for Bulgaria,Коалиция за България (БСП и коалиция),1100300,2003,
BG, National Movement for Stability and Progress,НДСВ (Национално движение за стабилност и възход),1100400,,
BG,Citizens for European Developm,ГЕРБ (Граждани за европейско развитие на България),1100600,2010,
BG,Attack,Партия Атака,1100700,2007,
BG,Movement for Rights and Freedo,Коалиция за България (БСП и коалиция),1100900,2004,
HR,Coalition SDP + HNS + HSU + SD,Hrvatska stranka umirovljenika (HSU) + Samostalna demokratska srpska stranka (SDSS) + Istarski demokratski sabor (IDS),1191002,3102,
HR,Croatian Labouristi - Labour P,Hrvatski laburisti - Stranka rada (HL-SR),1191330,3112,
HR,Croatian Social-Liberal Party,Hrvatsko socijalno-liberalna stranka,1191410,3104,
HR,Croation Democratic Union,Hrvatska demokratska zajednica (HDZ),1191511,3101,
HR,Croatian Party of Rights,Hrvatska stranka prava dr. Ante Starčević (HSP AS),1191613,3113,
HR,Croatian Party of Rights,Hrvatska stranka prava (HSP),1191713,3109,
HR,Croatian Peasant Party,Hrvatska seljačka stranka (HSS),1191810,3103,
HR,Croatian Democratic Assembly o,Hrvatski demokratski savez Slavonije i Baranje (HDSSB),1191952,3107,
CY,Ecological and Environmental M,Κίνημα Οικολόγων Περιβαλλοντιστών Συμμαχία των Πολιτών,1196110,4006,
CY,Progressive Party of the Worki,Ανορθωτικό Κόμμα Εργαζόμενου Λαού (ΑΚΕΛ),1196321,4003,
CY,Social Democrats' Movement,Κινήμα Σοσιαλδημοκρατών (ΕΔΕΚ),1196322,4005,
CY,Democratic Party,Δημοκρατικό Κόμμα (ΔΗΚΟ),1196422,4004,
CY,European Party (Cyprus),Ευρωπαϊκό Κόμμα,1196600,4002,
CY,Democratic Coalition,Δημοκρατικός Συναγερμός (ΔΗΣΥ),1196711,,
CZ,Green Party,Strana zelených (SZ),1203110,2107,
CZ,Communist Party of Bohemia and,Communist Party of Bohemia and Moravia,1203220,2103,1
CZ,Czech Social Democratic Party,Česká strana sociálně demokratická (CSSD),1203320,2101,2
CZ,Civic Democratic Party,Občanská demokratická strana (ODS),1203413,2102,5
CZ,ANO 2011,Akce nespokojených občanů ANO 2011,1203423,2111,4
CZ,Christian and Democratic Union,Křesťanská a demokratická unie - Československá strana lidová (KDU/CSL),1203523,2104,6
CZ," Tradition, Responsibility, Pro",Tradice Odpovědnost Prosperita 09 (TOP 09),1203530,2109,3
CZ,Party of Free Citizens,Svobodní : Strana svobodných občanů,1203953,2113,
DK,Social Democratic Party,Socialdemokraterne,1208320,201,1
DK, Socialist People's Party,Socialistisk Folkeparti (SF),1208330,206,4
DK,Radical Party,Det Radikale Venstre,1208410,202,2
DK,Liberals,Venstre,1208420,211,7
DK,Liberal Alliance,Liberal Alliance,1208421,218,8
DK,Conservative People's Party,Det konservative Folkeparti,1208620,203,3
DK,Danish People's Party,Dansk Folkeparti,1208720,215,5
EE,Estonian Greens,Erakond Eestimaa Rohelised,1233100,2207,5
EE, Social Democratic Party,Sotsiaaldemokraatlik Erakond (SDE),1233410,2204,4
EE, Estonian Center Party,Eesti Keskerakond,1233411,2202,2
EE,Estonian Reform Party,Eesti Reformierakond,1233430,2203,1
EE,Pro Patria and Res Publica Uni,Erakond Isamaa ja Res Publica Liit (IRL),1233613,2201,3
FI,Green Union,Vihreä Liitto (Vihr),1246110,1408,12
FI,Left Wing Alliance,Vasemmistoliitto (Vas),1246223,1404,14
FI,Finnish Social Democrats,Suomen Sosialidemokraattinen Puolue (SDP),1246320,1401,13
FI,Christian Democrats in Finland,Suomen Kristillisdemokraatit (KD),1246520,1409,5
FI,National Coalition,Kansallinen Kokoomus (Kok),1246620,1402,1
FI,Finnish Centre,Suomen Keskusta (Kesk),1246810,1403,3
FI,True Finns,Perussuomalaiset (Perus),1246820,1405,4
FI,Swedish People's Party,Ruotsalainen Kansanpuolue (SFP/RKP),1246901,1406,2
FR,Europe Ecology - The Greens,Europe Ecologie - Les Verts (EELV),1250110,605,12
FR,Left Front,Front de Gauche (FdG) (Parti communiste ou Parti de Gauche),1250223,624,6
FR,Socialist Party,Parti socialiste (PS),1250320,602,9
FR,Union for a Popular Movement,Union pour un mouvement populaire (UMP),1250626,609,10
FR,National Front,Front National (FN),1250720,610,2
DE,Alliance 90 / The Greens,Bündnis 90 / Die Grünen (Grüne),1276113,304,4
DE,Social Democratic Party,Sozialdemokratische Partei Deutschlands (SPD),1276320,302,2
DE,The Left,Die Linke (Linke),1276321,306,3
DE,Free Democratic Party,Freie Demokratische Partei (FDP),1276420,303,5
DE,Christian Democratic Union / C,Christlich Demokratische Union (CDU) - Christlich Soziale Union(CSU),1276521,301,1
DE,Alternative for Germany,Alternative für Deutschland (AfD),1276621,310,6
DE,Pirates,Piratenpartei Deutschland (Piraten),1276951,311,7
GR,Communist Party of Greece,Κομμουνιστικό Κόμμα Ελλάδας (ΚΚΕ),1300210,404,
GR,Coalition of the Radical Left,Συνασπισμός Ριζοσπαστικής Αριστεράς (ΣΥΡΙΖΑ),1300215,403,
GR,Democratic Left,Δημοκρατική Αριστερά (ΔΗΜ.ΑΡ.),1300225,414,
GR,Panhellenic Socialist Movement,Πανελλήνιο Σοσιαλιστικό Κίνημα (ΠΑΣΟΚ),1300313,401,
GR,New Democracy,Νέα Δημοκρατία (ΝΔ),1300511,402,
GR,Independent Greeks,Ανεξάρτητοι Έλληνες (ΑΕ),1300611,412,
GR,Popular Orthodox Rally,Λαϊκός Ορθόδοξος Συναγερμός- Γ. Καρατζαφέρης (ΛΑΟΣ),1300703,410,
GR, Golden Dawn,Λαϊκός Σύνδεσμος -Χρυσή Αυγή (ΛΣ-ΧΑ),1300710,415,
HU,Politics Can Be Different,Lehet Más a Politika (LMP),1348110,2309,
HU,FIDESZ-KDNP Alliance,Fidesz - Magyar Polgári Szövetség - Kereszténydemokrata Néppárt (FIDESZKDNP),1348421,2302,
HU,Jobbik,Jobbik Magyarországért Mozgalom (JOBBIK),1348700,2308,
IE,Green Party,Green Party (GP),1372110,705,3
IE,Labour Party,Labour Party (LP),1372320,703,5
IE,Family of the Irish,Fine Gael (FG),1372520,702,2
IE,Soldiers of Destiny,Fianna Fail (FF),1372620,701,1
IE,Ourselves Alone,Sinn Fein (SF),1372951,707,7
IT,Left Ecology Movement,Ecologia e Liberta (SEL) ,1380007,838,
IT, Democratic Party,Partito Democratico (PD),1380331,837,
IT,Union for Christian and Center,Unione di Centro (UDC),1380523,814,
IT,People of Freedom,Il Popolo della Libertà (PDL),1380630,815,
IT,Brothers of Italy - National C,Fratelli d'Italia - Centrodestra Nazionale,1380631,844,
IT,Northern League,Lega Nord,1380720,811,
IT,List di Pietro Italy of Values,Italia dei Valori - Di Pietro (IdV),1380902,,
IT,Five Star Movement,Movimento 5 Stelle (MCS),1380956,845,
LV,Green and Farmers' Union,Zaļo un Zemnieku savienība,1428110,2405,
LV,Harmony Centre (Concord Centre,Saskaņas Centrs,1428317,2410,
LV,For Human Rights in a United L,PCTVL - Par cilvēka tiesībām vienotā Latvijā,1428422,2402,
LV, Latvia's First Party / Latvian,Šlesera Reformu partija LPP/LC,1428424,,
LV,Unity,Vienotība (V),1428610,2412,
LV,Reform Party,Reformu partija,1428620,,
LV, For Fatherland and Freedom - N,Nacionālā apvienība „Visu Latvijai!” – „Tēvzemei un Brīvībai/LNNK,1428723,2406,
LT,Lithuanian Social Democratic P,Lietuvos socialdemokratų partija (LSDP),1440320,2501,
LT,Labour Party,Darbo Partija (DP),1440322,2516,
LT,Liberal and Centre Union,Liberalų ir centro sąjunga,1440420,,
LT,Liberal Movement,Lietuvos Respublikos liberalų sąjūdis (LRLS),1440421,2518,
LT,Lithuanian Peasant and Greens,Lietuvos Valstiečių ir Žaliųjų Sąjunga (LVZS),1440524,2507,
LT,Homeland Union - Lithuanian Ch,Tėvynės sąjunga – Lietuvos krikščionys demokratai (TS-LKD),1440620,2506,
LT,Order and Justice,Partija “Tvarka ir teisingumas” (TT),1440621,2515,
LT,Election Action of Lithuania's,Lietuvos lenkų rinkimų akcija (LLRA (AWPL),1440952,2511,
LU,The Greens,Les Verts (Déi Gréng),1442113,3802,
LU,The Left,La Gauche (Déi Lénk),1442222,3806,
LU,Socialist Workers' Party,Parti ouvrier socialiste luxembourgeois (LSAP),1442320,3804,
LU,Democratic Party,Parti démocratique (DP),1442420,3803,
LU,Christian Social People's Part,Parti populaire chrétien social (CSV),1442520,3801,
LU,Alternative Democratic Reform,Parti réformiste d'alternative démocratique (ADR),1442951,3805,
MT,Democratic Alternative,Alternattiva Demokratika,1470100,,
MT,Labour Party,Partit Laburista,1470300,3701,
MT,Nationalist Party,Partit Nazzjonalista,1470500,3702,
NL,Green Left,GroenLinks,1528110,1005,8
NL,Socialist Party,Socialistische Partij (SP),1528220,1014,4
NL,Labour Party,Partij van de Arbeid (PvdA),1528320,1002,2
NL,Democrats '66,Democraten 66 (D66),1528330,1004,6
NL,People's Party for Freedom and,Volkspartij voor Vrijheid en Democratie (VVD),1528420,1003,1
NL,Christian Democratic Appeal,Christen-Democratisch Appèl (CDA),1528521,1001,5
NL,Christian Union,ChristenUnie,1528526,1016,7
NL,Party of Freedom,Partij voor de Vrijheid (PVV),1528600,1017,3
NL,Party for the Animals,Partij voor de Dieren (PvdD),1528951,1018,10
PL,Congress of the New Right,Nowa Prawica,1616001,2614,1
PL,Coalition of the Democratic Le,Sojusz Lewicy Demokratycznej,1616210,2601,8
PL,Civic Platform,Platforma Obywatelska,1616435,2603,2
PL,Law and Justice,Prawo i Sprawiedliwość,1616436,2605,6
PL,Polish Peasants' Party,Polskie Stronnictwo Ludowe,1616811,2606,5
PT,Left Bloc,Bloco de Esquerda (BE),1620211,1208,
PT,Unified Democratic Coalition,Coligação Democrática Unitária (CDU) or (PCP/PEV),1620229,1201,
PT, Socialist Party,Partido Socialista (PS),1620311,1205,
PT,Social Democratic Party,Partido Social Democrata (PSD),1620313,1206,
PT,Coalition PSD (1620313) + CDS-,Centro Democrático Social/Partido Popular) (Coal. (PSD + CDS-PP)),1620314,,
PT,Social Democratic Center-Popul,Centro Democrático e Social - Partido Popular (CDS-PP),1620520,1202,
RO,Greater Romania Party,Partidul România Mare (PRM),1642700,,
RO,Hungarian Democratic Alliance,Uniunea Democrată Maghiară din România (UDMR),1642900,2706,
RO,People's Party - Dan Diancones,Partidul Poporului - Dan Diaconescu (PPDD),1642981,2710,
SK,Communist Party of Slovakia,Komunistická strana Slovenska,1703222,,
SK,Direction,Smer–sociálna demokracia (Smer-SD),1703423,2803,
SK,Freedom and Solidarity,Sloboda a Solidarita (SaS),1703440,2812,
SK,Christian Democratic Movement,Kresťanskodemokratické hnutie (KDH),1703521,2805,
SK,Democratic Party,Slovenská demokratická a kresťanská únia – Demokratická strana (SDKÚ–DS),1703523,2802,
SK,Ordinary People and Independen,Obyčajní Ľudia a nezávislé osobnosti (OĽaNO,1703620,2814,
SK,Slovakian National Party,Slovenská národná strana (SNS),1703710,2809,
SK,Party of the Hungarian Communi,Strana mad'arskej koalície - Magyar Koalíció Pártja (SMK–MKP),1703954,2804,
SK,Bridge,Most–Híd,1703955,2813,
SI,Slovenian Democratic Party,Slovenska demokratska stranka (SDS),1705320,2902,6
SI,Social Democratic Party,Socialni demokrati (SD),1705323,2903,5
SI,Zares - Social Liberals,Zares - socialno liberalni (Zares),1705324,,
SI,Positive Slovenia,Pozitivna Slovenija (PS),1705340,2914,4
SI,Liberal Democracy of Slovenia,Liberalna demokracija Slovenije (LDS),1705421,,
SI,Civic List,Državljanska lista (DL),1705450,,2
SI,Slovenian People's Party,Slovenska ljudska stranka (SLS),1705521,2904,7
SI,New Slovene Christian People's,Nova Slovenija (NSI),1705522,2905,3
SI,Slovene National Party,Slovenska Nacionalna Stranka (SNS),1705710,,
SI,Democratic Party of Pensioners,Demokraticna stranka upokojencev Slovenije (DESUS),1705951,2906,1
SI,Youth Party - European Greens,SMS - Zeleni,1705952,,
ES,Convergence and Union,CiU - Convergència i Unió,1724007,505,
ES,"Union, Progress and Democracy",UPyD - Unión Progreso y Democracia,1724010,523,
ES,Spanish Socialist Workers' Par,PSOE - Partido Socialista Obrero Español,1724320,501,
ES,Citizens - Party of the Citize,Ciudadanos – Partido de la Ciudadanía,1724410,526,
ES,Popular Party,PP - Partido Popular,1724610,502,
ES,Basque Nationalist Party,EAJ-PNV - Partido Nacionalista Vasco- Euzko Alderdi Jeltzalea,1724902,506,
ES,Catalan Republican Left,ERC - Esquerra Republicana de Catalunya,1724905,511,
ES,Canarian Coalition,CC - Coalición Canaria,1724907,517,
ES,Galician Nationalist Bloc,BNG - Bloque Nacionalista Galego,1724908,513,
SE,Pirate Party,Piratpartiet (PP),1752000,1611,9
SE,Green Ecology Party,Miljöpartiet de Gröna (MP),1752110,1607,4
SE,Left Party,Vänsterpartiet (VP),1752220,1601,7
SE,Social Democratic Labour Party,Socialdemokratiska arbetarpartiet (SP),1752320,1602,6
SE,Liberal People's Party,Folkpartiet liberalerna (FP),1752420,1604,2
SE,Christian Democrats,Kristdemokraterna (KD),1752520,1606,3
SE,Moderate Coalition Party,Moderata samlingspartiet (M),1752620,1605,5
SE, Sweden Democrats,Sverigedemokraterna (SD),1752700,1610,10
SE,Centre Party,Centerpartiet [C],1752810,1603,1
SE,Feminist Initiative,Feministiskt initiativ (FI),1752953,1612,8
UK,Green Party,Green Party (GP),1826110,1107,
UK,Sinn Fein,Sinn Féin (SF),1826210,,
UK,Labour Party,Labour Party (Lab),1826320,1102,
UK,Liberal Democrats,Liberal Democrats (LD),1826421,1104,
UK,Conservative Party,Conservative (Con),1826620,1101,
UK,British National Party,The British National Party (BNP),1826720,,
UK,Social Democratic & Labour Par,Social Democratic & Labour Party (SDLP),1826724,,
UK,Party of Wales,Plaid Cymru (Plaid),1826901,1106,
UK,Scottish National Party,Scottish National Party (SNP),1826902,1105,
UK,Democratic Unionist Party,Democratic Unionist Party (DUP),1826903,,
UK,United Kingdom Independence Pa,United Kingdom Independence Party (UKIP),1826951,1108,
