party,pervote_max_year,pervote_max
11110,2010,7.3
11220,1998,12
11320,1968,50.1
11420,1952,24.4
11520,1998,11.8
11620,2010,30.1
11710,2014,12.9
11810,1973,25.1
11951,1991,6.7
12110,2013,2.8
12220,1945,11.9
12221,2001,12.5
12320,1957,48.3
12410,1973,3.4
12420,1949,14.8
12520,1997,13.7
12620,1981,31.7
12810,1993,16.7
12951,2009,22.9
13001,2011,5
13210,1979,3.7
13220,1945,12.5
13221,1987,2.2
13229,2011,6.7
13230,1987,14.6
13320,1960,42.1
13330,1981,8.3
13410,1968,15
13420,2001,31.2
13421,1960,3.3
13422,1966,2.5
13520,1975,5.3
13620,1984,23.4
13720,2007,13.9
13951,1973,15.9
13952,1950,8.2
13953,1945,3.1
14110,2007,8.5
14221,1945,23.5
14222,1987,4.2
14223,1995,11.2
14310,1962,4.4
14320,1995,28.3
14420,1954,7.9
14430,1995,2.8
14520,2003,5.3
14620,1987,23.1
14810,1991,24.8
14820,2011,19.1
14901,1945,8.4
15111,2009,21.7
15220,1978,22.9
15320,1978,22
15321,1983,7.6
15322,1971,8.9
15323,1995,7.2
15328,2003,31
15420,2003,7.4
15430,2009,7.2
15440,2013,8.2
15620,1974,42.7
15621,1987,10.9
15710,1953,6
15810,1963,28.2
15951,1987,10.1
15952,2013,5.1
21111,1999,7.4
21112,1999,7
21221,2003,14.9
21320,1954,39
21321,1987,14.9
21322,1987,15.7
21330,2007,0
21420,1965,21.6
21421,2003,15.4
21422,1985,10.2
21423,1995,10.3
21424,1971,1.3
21425,1999,10.1
21426,2007,12.5
21430,2007,4
21520,1950,47.7
21521,1977,26.2
21522,1968,11.7
21911,1971,6.7
21912,1971,4.5
21913,1971,11.1
21914,2003,11.7
21915,1999,5.6
21916,2010,17.4
21917,2007,12
22110,2017,9.1
22210,1946,10.6
22220,2006,16.6
22230,1986,1.2
22310,1972,4.8
22320,1977,33.8
22321,2017,2.1
22330,1994,15.5
22420,2012,26.6
22430,2002,1.6
22521,1989,35.3
22522,1963,31.9
22523,1948,13.2
22524,1971,5.3
22525,1948,9.2
22526,2006,4
22527,1994,1.3
22528,1998,2
22710,1982,0.8
22711,1994,2.5
22720,2002,17
22722,2010,15.4
22730,2017,1.8
22951,2017,3.2
22952,1948,2.4
22953,2017,3.1
22954,1994,3.6
22955,1994,0.9
23111,1989,3.7
23112,1984,4.2
23113,2009,11.7
23220,1948,14.3
23230,2013,4.9
23320,1948,37.8
23420,1974,23.3
23520,1954,45.2
23951,1999,10.4
31021,2012,6.9
31110,1993,7.8
31111,1997,2.7
31220,1946,28.6
31230,2012,1.7
31240,2017,11
31320,1981,36.6
31421,1956,15
31425,2017,28.2
31430,2017,3
31521,1946,26.3
31522,1967,14.1
31523,1973,3.8
31529,1973,13.3
31621,1968,38
31622,1958,20
31623,1956,11.6
31624,1978,22
31625,1993,20.2
31626,2007,39.5
31630,2012,2.2
31631,2012,0.6
31720,1997,14.9
32021,2013,2.2
32061,2008,37.2
32110,1992,2.8
32111,2001,2.2
32210,1979,1.4
32211,1987,1.7
32212,1996,8.6
32213,2006,2.2
32220,1976,34.4
32221,2006,2.5
32230,2013,3.2
32310,1994,3.5
32320,1946,20.7
32321,1996,4.3
32322,1968,14.5
32329,2006,30.4
32330,1948,7.1
32410,1983,5.1
32420,1963,7
32421,2001,14.5
32440,2008,33.2
32450,2013,0.5
32460,2013,8.3
32520,1948,48.5
32521,1996,0
32522,2001,3.2
32528,1994,4.7
32529,1996,5.8
32530,2006,6.8
32610,2001,29.4
32611,2001,1
32629,2001,0
32630,2013,2
32640,2013,0.2
32710,1996,15.7
32720,1996,10.1
32901,2001,2.4
32902,2008,4.4
32903,2006,0.1
32904,2006,0.5
32906,2013,0
32951,1994,1.9
32952,2006,0.2
32953,2006,1.4
32955,2006,1.1
32956,2013,25.6
33020,2015,3.7
33025,2016,13.4
33091,2011,0.2
33092,2011,1.4
33093,2011,0.5
33095,2015,0.9
33096,2015,3.7
33097,2015,1.6
33098,2016,2.7
33099,2015,2.2
33210,2015,12.6
33220,1979,10.8
33320,1982,48.4
33420,2015,13.9
33430,1979,35
33438,1982,6
33439,1986,2.7
33440,2011,4.8
33512,1986,9.2
33610,2011,45.2
33611,1989,5.1
33612,2011,0.4
33901,1986,0.5
33902,1982,1.9
33903,1989,0.7
33904,1993,0.6
33905,2016,2.6
33906,1979,1.8
33907,2e3,1.1
33908,2e3,1.3
33909,2004,0.4
33910,2004,0.6
33911,2016,2
34020,2012,26.9
34210,1981,10.9
34211,1989,13.1
34212,2015,36.3
34213,2012,6.3
34214,2015,2.9
34313,1981,48.1
34314,1996,4.4
34340,2015,5.9
34410,2015,3.4
34510,1974,20.4
34511,1974,54.4
34512,1993,4.9
34610,1977,6.8
34710,2009,5.6
34720,2012,7
34730,2012,10.6
35060,2015,40
35110,2002,1.2
35120,2015,1.4
35210,1979,2.2
35211,2015,10.6
35220,1979,18.3
35229,1999,9.1
35310,1975,4.4
35311,2005,46.4
35312,1985,18.5
35313,1987,51.3
35315,1987,0.8
35316,1980,1.6
35317,1980,1.6
35520,1976,16.7
35710,1980,2.2
35951,1991,1.7
41111,1987,8.3
41112,1990,1.2
41113,2009,10.7
41220,1949,5.7
41221,1998,5.1
41222,2005,8.7
41223,2009,11.9
41320,1972,45.9
41420,2009,14.6
41521,1957,50.2
41522,1949,3.1
41620,1949,4
41711,1949,2.9
41712,1949,1.8
41911,1949,4.2
41912,1949,0.3
41951,1953,5.9
41952,2013,2.2
41953,2017,12.6
42110,2013,12.4
42120,2017,4.4
42220,2008,0.8
42320,1979,51
42420,1999,26.9
42421,1994,6
42430,2017,5.3
42520,1966,48.3
42710,2008,10.7
42951,2013,5.7
43110,2007,9.6
43120,2011,5.4
43220,1995,1.2
43320,1955,26.8
43321,1967,9
43420,1979,24.1
43520,1963,23.2
43530,2007,2.4
43531,1991,3
43540,2007,0.4
43710,1991,3.3
43711,1995,1.3
43810,2015,29.4
43811,2011,5.4
43901,2011,0.8
43902,2011,0.4
43951,1991,5.1
51110,2015,3.8
51210,2017,0.7
51320,1951,48.8
51330,1983,11.6
51340,2015,0.3
51420,1974,19.3
51421,2010,23
51620,1955,49.7
51621,1997,0.8
51901,2015,0.6
51902,2015,4.7
51903,2017,0.9
51951,2015,12.6
52320,1925,
52620,1921,
52710,1921,
53021,2011,2.7
53110,2007,4.7
53220,1989,5
53221,1992,2.8
53230,2011,1.2
53231,2016,2
53240,2016,2
53250,2016,0.3
53320,2011,19.4
53321,2016,3
53420,1987,11.8
53520,1982,39.2
53620,1977,50.6
53714,1948,13.2
53810,1948,5.6
53951,2016,13.8
53981,2016,4.2
54320,1996,50.7
54620,1998,51.8
55110,2016,4.8
55321,2001,35.2
55322,2011,8.9
55340,2016,6
55421,1996,0
55422,2006,17.9
55423,1996,3.7
55430,2006,5.7
55610,2016,5.2
55711,2001,34.5
55720,2016,3.7
61320,1964,57.7
61620,1920,58.2
61621,1924,0.1
61622,1948,0.1
61911,1948,0.1
62110,2008,6.8
62320,2011,30.6
62420,1949,49.5
62620,1958,53.6
62621,1997,19.4
62622,2e3,25.5
62623,2011,39.6
62901,1993,13.5
62951,1963,11.9
63110,2010,11.8
63320,1954,50
63321,1990,11.3
63330,1958,7.8
63410,2013,5.5
63620,1975,41.8
63621,2010,9.1
63622,2013,0.3
63710,2013,1
63810,1987,11.5
63901,2016,1.8
64110,2011,11.1
64320,1946,51.3
64321,1993,18.2
64420,2002,7.1
64421,2002,6.7
64422,2002,1.7
64620,1951,54
64621,1996,12.9
64901,2005,3.4
64902,2011,1.1
64951,1981,20.7
71110,2012,5.7
71111,2014,1.9
71220,1996,13.1
71320,1963,29
71321,1960,8.8
71322,1990,0.9
71410,2012,8.7
71420,2003,0
71430,2012,20.4
71530,2003,14.8
71620,1960,57.6
71621,1976,4.2
71622,1993,10.1
71623,1996,28
71624,2009,42.4
71625,2e3,11
71626,2e3,0.4
71630,2005,1.7
71640,2003,0
71650,2012,0.6
71660,2014,15.7
71710,2014,2.7
71951,1993,2.6
71952,1993,8
71953,2009,0.8
72091,2015,10.6
72092,2009,3.4
72220,1955,4.5
72221,1973,1.4
72222,1984,1.8
72223,1977,1.6
72224,1973,3.4
72225,1977,4.6
72310,1988,4.3
72311,1949,14.7
72312,2003,2.8
72320,1969,46.2
72322,1965,7.9
72323,1992,34.6
72324,1959,38.2
72325,1961,7.5
72326,1992,9.6
72327,1999,19.9
72328,2015,18.7
72410,1965,3.8
72411,1961,13.6
72412,1977,11.6
72413,2003,12.3
72414,1984,2.2
72415,1999,4.9
72420,1951,16.2
72425,1984,1.1
72427,1996,3.2
72428,1996,5.7
72430,2009,22.5
72431,2013,5
72440,2013,14.3
72450,2015,7.5
72530,1959,9.9
72531,1981,3.7
72532,1981,2.3
72533,1999,12.8
72534,1984,1.6
72535,2006,4.7
72610,1969,1.2
72611,1969,3.1
72612,1984,3.2
72613,1992,6.4
72614,1988,1.5
72615,1992,2.4
72620,1961,13.8
72621,1969,21.7
72622,1981,37.1
72623,1977,1.9
72624,2003,5.5
72625,2009,11.7
72701,2013,9.1
72901,1996,2.9
72903,2013,2.6
72951,2006,5.9
73310,1952,
73330,1947,
74210,2015,12.8
74321,1977,41.4
74322,1983,30.5
74323,1987,24.7
74324,1999,22.3
74325,2011,6.6
74326,2007,4.6
74621,1954,57.6
74622,1965,52.9
74623,1983,45.1
74624,1991,27
74625,1965,6.3
74626,1999,1.5
74627,1999,0.6
74628,2011,49.8
74710,1954,5.3
74711,1983,23.3
74712,1999,18.1
74714,1973,11.8
74715,1995,21.4
74716,1999,15.5
75220,1991,56.2
75320,1992,4.4
75421,1997,2.7
75621,1991,0
75622,1992,0
75623,1997,3.3
75624,1992,62.1
75721,1996,5
75722,1996,5.7
75810,2001,2.6
75951,1996,4
76041,2012,7.1
76222,1995,12.4
76321,2007,13.2
76322,2003,5.7
76420,2003,12.6
76421,2003,13.7
76430,2007,6
76521,1995,5.7
76610,2012,44.1
76620,2012,30.2
76711,1995,43.9
76712,1995,7.7
76901,1995,17.4
76902,1999,8.1
76903,1999,42.4
76904,2003,8.9
77220,1995,66.1
77221,2e3,6.3
77420,2e3,11
77430,1995,4.2
77710,1995,9.8
77951,2e3,6.4
78211,1995,
78212,1995,
78213,1995,
78214,1995,
78410,1995,
78430,1995,
78710,1995,
78901,1995,
79221,1990,4.6
79222,1990,7.8
79223,1996,0
79321,2e3,18
79322,2014,9.2
79421,1998,33.8
79422,2e3,6.4
79423,2e3,0
79610,2014,8.7
79721,1998,6.9
79722,1998,0
79723,2006,15.5
79730,2006,19.1
79901,2e3,0
79951,1996,38
79953,1990,15.6
79954,1990,0.9
79955,1990,25.7
79956,2006,3.7
79957,2006,2.7
80051,2009,6.8
80061,2014,8.9
80062,2014,7.3
80071,2017,9.1
80110,1994,0
80220,1990,47.2
80221,2005,31
80228,1994,43.5
80229,1997,22.1
80320,1997,5.5
80330,2014,4.1
80410,1990,36.2
80411,1997,52.2
80510,2009,39.7
80610,2005,6.4
80620,2009,4.1
80630,2014,5.7
80640,2017,4.1
80710,2009,9.4
80810,1990,6
80811,1994,6.5
80812,1994,0
80813,2005,5.2
80901,1997,4.9
80902,2001,42.7
80951,2014,14.8
80952,1997,0
81021,2e3,12
81022,2016,6
81032,2011,40.7
81041,2007,6.5
81042,2003,4
81043,2016,4
81061,2015,32.6
81091,2016,2.2
81111,1990,0
81112,1990,0
81220,1992,5.5
81221,1990,0
81222,1990,0
81223,2007,31.2
81229,1990,35
81230,2011,5.2
81410,1992,17.7
81411,2003,2.7
81420,1990,15.3
81430,1995,0
81440,2011,2.8
81450,2015,1.5
81460,2015,12.8
81711,1995,45.2
81712,2003,8
81713,1992,7.1
81810,2e3,10
81899,1995,18.3
81910,2011,2
81951,1992,0
81952,2011,2.9
81953,2e3,2.4
81954,1992,0
81955,1992,0
81956,1995,0
81957,2003,4
81959,1992,3.2
81960,2015,4
81961,2015,3.2
82110,2006,6.3
82220,2002,18.5
82221,1992,14
82320,2006,32.3
82410,1990,49.4
82412,1996,6.4
82413,2006,35.4
82419,1992,29.7
82420,1992,6.5
82421,1998,8.6
82430,2017,29.6
82520,1990,0
82521,1992,0
82523,1998,9
82524,2002,14.3
82529,1990,8.4
82530,2010,16.7
82610,2017,5.2
82710,1996,8
82720,2013,6.9
82721,2017,10.6
82901,1996,3.1
82951,1990,10
82952,2010,10.9
82953,2017,10.8
83110,2007,7.1
83220,1992,13.6
83320,1992,0
83410,2011,17.1
83411,2007,26.1
83421,1992,12.2
83430,2011,28.6
83440,2015,8.7
83610,1995,5
83611,2003,24.6
83612,2003,13
83709,1995,7.9
83710,1992,22
83711,1992,8.8
83712,1992,6.9
83713,1999,7.6
83719,1995,32.2
83720,2015,8.1
83810,1999,7.3
83901,1992,7.1
83951,1995,5.9
83952,1999,6.1
84041,2008,17.5
84042,2012,55
84095,1990,54
84110,1992,7.2
84220,1990,29.6
84221,1992,19.2
84222,1992,2.1
84223,1995,3.8
84321,1992,1.3
84322,1992,1.2
84323,1999,41.8
84411,1992,5.4
84421,1992,12.2
84422,1992,9
84423,1992,5.6
84424,1999,25.2
84425,1995,1.4
84426,1995,2.1
84427,1995,2.9
84428,1999,7.1
84429,2003,12
84430,2003,8.8
84431,2003,7.3
84432,2003,21.3
84440,2008,3.7
84450,2016,48.7
84521,1992,1.2
84530,2008,8.6
84710,1992,4.5
84711,1992,9
84712,1992,4.5
84713,1992,3
84714,1992,2.5
84715,1992,2.6
84716,2004,67.8
84720,1990,1.9
84730,2016,5
84810,1992,0
84951,1992,1.4
84952,1990,1.8
85111,1990,2
85112,1990,2.9
85210,1990,0.2
85221,1990,16.4
85320,1990,21.9
85421,1990,0
85422,1990,0
85423,1990,0
85424,1990,0.4
85429,1990,5.3
85521,1990,40.8
85522,1990,6.3
85523,1990,0.9
85524,1990,2.2
85901,1990,0.3
86061,2010,67.9
86110,2014,5.3
86220,2006,48.2
86221,2014,2.7
86320,1994,0.6
86340,2014,2.1
86421,2002,35.8
86422,1990,21.4
86429,1998,0
86521,1990,22.9
86522,1994,7
86529,1998,4
86620,1998,5.6
86710,2014,20.6
86810,1998,13.4
86811,1990,0
87021,2011,28.6
87041,2006,8.6
87061,2010,7.8
87062,2010,31.9
87071,2014,16.7
87110,2010,20.1
87220,1993,12
87310,1995,5.6
87311,1998,12.9
87320,1995,7.2
87340,2014,23.2
87410,1993,32.4
87411,1995,15.2
87420,1993,0
87421,1998,14.2
87422,2002,19.1
87423,2002,24
87430,1993,4.8
87431,1998,7.3
87520,1993,5
87521,2002,9.6
87610,1998,21.3
87611,1995,6.3
87620,2011,21
87630,2014,6.9
87710,1993,13.4
87721,1995,12
87722,1995,15
87723,1998,14.7
87810,1993,10.7
87811,1995,6.4
87901,2014,6.7
87951,1993,5.8
88031,2004,20.6
88041,2004,11.4
88042,2008,9
88220,1992,44
88320,2012,19.2
88321,2e3,31.1
88410,2e3,19.6
88420,1996,8.7
88421,1992,21.2
88422,2e3,17.3
88430,2004,9.2
88440,2004,28.4
88450,2012,9
88460,2008,12.7
88521,1996,10.4
88522,1992,0
88523,1992,0
88529,1992,12.6
88620,1996,31.3
88621,2008,19.7
88630,2008,15.1
88710,1992,2
88810,2e3,4.1
88820,2004,6.6
88951,2012,6.1
88952,2012,8.3
89031,2014,2.9
89221,2002,29.8
89222,1990,14.7
89223,1990,0
89224,2002,8.3
89227,1994,29.5
89228,1990,0.7
89229,1990,3.2
89230,2006,6
89320,1990,8
89321,1998,10.7
89330,2011,0.7
89420,1990,1.7
89430,2002,3.8
89511,2006,6.1
89710,2014,44.5
89810,2011,2.3
89910,2008,10.5
89920,2006,1.5
89930,2011,2.7
89940,2014,14.2
89951,1998,19.3
89952,1994,3
89953,1990,0
89959,1990,1.4
90220,1994,22
90221,2001,50.1
90231,2014,20.5
90320,2005,28.5
90321,2009,7.4
90330,2014,15.8
90410,1998,8.8
90420,1998,18.2
90430,2010,29.4
90520,2005,9.1
90610,1998,19.4
90620,2009,14.7
90810,1994,43.2
90951,1994,9.2
90952,2001,13.4
91020,2009,51.9
91030,2016,3.7
91060,2012,22.8
91220,1996,51.2
91222,1990,
91223,1990,
91224,1998,36.1
91229,1990,
91320,1992,4.4
91321,2002,8.6
91322,2016,2.5
91323,1998,49.5
91324,2016,3.3
91330,2012,8.2
91420,1996,25.6
91421,2006,3.8
91430,2006,13.1
91440,2016,10
91610,2016,4.9
91710,1992,12.7
91711,1992,7.6
91712,2002,7
91910,2009,9.2
91920,2012,4.2
91930,2006,14.7
91951,1990,
91952,1990,
91953,1996,3.5
91959,1990,
92021,2007,13.2
92210,1997,27.1
92211,1991,0
92212,2001,41
92320,1991,4.8
92321,1991,1.9
92322,1993,7.3
92410,1991,11.6
92420,1991,7.1
92431,1991,3.1
92432,1991,2.1
92433,1991,0
92434,1997,13.4
92435,2007,41.5
92436,2007,32.1
92440,2011,10
92520,1991,2.2
92521,1991,8.2
92522,1991,1.1
92523,1991,0
92530,1991,8.2
92620,1997,33.8
92621,1997,5.6
92622,2005,11.4
92710,1991,7.1
92711,1991,0.2
92712,1991,0.4
92713,2005,8
92810,1991,5.2
92811,1993,15.4
92901,1993,5.4
92952,1991,0.3
92953,1991,1.1
93001,2004,36.8
93002,2008,33.1
93031,2012,58.6
93041,2004,31.5
93061,2012,16.5
93111,1990,2.6
93112,1990,1.7
93221,1990,66.3
93222,1990,1
93223,2016,45.5
93320,1990,0.5
93322,1996,12.9
93411,1996,30.2
93420,2016,5.6
93430,2016,20
93440,2016,8.9
93521,1990,2.6
93523,1990,0
93524,1990,0
93529,1990,0.5
93530,2008,32.4
93540,2016,5.3
93711,1992,7.7
93712,2e3,19.5
93713,1992,3
93714,1990,0
93719,1990,2.1
93810,1990,1.8
93951,1992,7.5
93981,2012,14
94221,1999,24.8
94222,1993,8
94223,1993,8.1
94224,1993,0.7
94225,1995,1.6
94310,2003,9.2
94320,1993,4.1
94321,1995,1.1
94421,1993,15.5
94422,1993,7.9
94423,1993,6.7
94424,1995,10.3
94425,1995,2
94426,1995,1.6
94427,1995,3.9
94620,1999,23.8
94621,1999,8.7
94622,1999,13.6
94710,1999,6.1
94711,1993,22.9
94712,1993,5.5
94713,1995,4.4
94901,2011,13.5
94951,2007,65
95021,2012,15.2
95040,2008,39.3
95041,2012,23.1
95042,2012,6.8
95043,2016,5.2
95044,2016,6.2
95045,2014,5.9
95060,2003,7.8
95065,2007,18.6
95066,2016,5.2
95070,2012,25.2
95071,2014,50
95091,1997,2.8
95100,2016,0.6
95221,1990,48.1
95222,1990,1.5
95223,1997,0
95229,1997,35.7
95420,1992,17.9
95421,1993,0
95422,1992,0
95423,2e3,65.7
95430,2007,25.5
95431,2007,6
95440,2016,6.2
95450,2003,11.6
95451,2012,5.8
95710,1997,20
95711,2007,32.1
95712,2003,18
95720,2012,0.6
95810,1992,2.9
95901,2008,1.8
95902,2014,2.2
95903,2016,0.9
95951,1992,3.2
95952,1990,1.7
95954,1993,0.7
95955,2014,0.7
96111,1990,3.5
96210,1994,7.3
96220,1992,14.7
96221,1994,10.4
96222,2002,6.3
96420,1990,4.4
96421,1994,8.6
96422,1998,8
96423,2012,44.4
96424,2002,8
96430,1990,29.4
96431,1992,0
96440,2010,12.1
96521,1990,19.2
96522,1998,26.3
96523,2006,18.4
96610,2010,2.3
96620,2016,11
96630,2016,5.6
96710,1990,13.9
96711,1992,37.3
96712,1994,0
96720,2016,8
96725,2016,6.6
96951,1992,0
96952,2006,11.7
96953,1994,0
96954,1994,0
96955,2012,6.9
97110,1990,8.8
97220,1990,17.3
97223,1992,13.6
97320,1996,16.1
97321,2e3,12.1
97322,2008,30.4
97330,2008,29.3
97340,2011,30.9
97421,2e3,36.3
97430,1990,9.5
97440,2008,9.4
97450,2011,9.1
97520,1992,14.5
97521,1996,19.4
97522,2004,9.1
97710,1992,10
97810,1990,0
97951,2011,7.6
97952,2e3,4.3
98081,2007,4.1
98111,1998,5.6
98221,1998,25.4
98321,2002,7.1
98322,1998,4.2
98323,1998,8.8
98324,1998,4.8
98325,1994,0.4
98421,1994,0
98422,1994,0.9
98423,1994,0.4
98424,1994,0.3
98426,1998,5.2
98427,2002,6.5
98428,1998,1.8
98429,2002,12.3
98521,1998,1.3
98611,1998,9.7
98612,1994,2.7
98613,1994,1.2
98614,1998,2.8
98615,2002,24.5
98616,2007,32.1
98711,1994,1.3
98712,1994,0.4
98713,1994,0
98810,1994,2.9
98811,1998,3.8
98951,1994,0
98952,2007,35.9
113320,2004,13
113321,2012,10.3
113322,2016,7.2
113420,1992,29.2
113421,1996,25.3
113422,2004,38.3
113430,2e3,35.9
113440,2012,36.5
113441,2016,25.5
113442,2016,26.7
113620,1992,38.5
113621,1992,17.4
113622,1996,34.5
113630,2012,42.8
113650,1996,16.2
113651,2008,6.8
150022,2003,24.2
150023,2007,23.1
150024,2009,28.8
150025,2011,49.1
150026,2011,12.5
150027,2007,7.8
150028,1999,35.9
150029,1989,44.7
150031,2007,17
150032,1999,43.8
150040,1989,9.6
150061,2009,19.2
150201,1995,43
150202,1995,20.7
150205,2003,14.1
150210,2003,14.1
150220,2009,
150221,2009,
150222,2009,
150230,2011,3.7
150301,1989,28.7
150401,2003,16.4
150601,1999,8.1
151062,2009,26.9
151250,2014,67.6
151255,2009,3.9
151540,2014,7.7
151610,2009,0
151617,2009,0
151640,2014,24.6
155021,1993,55.3
155023,2009,4.6
155024,2013,5.4
155025,2005,7.4
155061,1999,48.7
155601,2005,22.4
155602,2005,14.1
155620,1989,15.4
162210,2014,1.2
162310,2014,49.4
162410,2014,13.3
162510,2014,3.2
162610,2014,31.9
171031,2e3,16.9
171032,2006,28.9
171033,2006,29.7
171034,2009,0
171035,2012,0
171101,2003,7.7
171201,1979,5.4
171202,1985,1.7
171203,1982,4.4
171210,2015,8.8
171301,1961,90.7
171302,1982,2.2
171303,1985,2.5
171304,1991,4.3
171305,1997,25.7
171306,2012,4.8
171307,1988,29
171308,1985,1.7
171309,2006,4.7
171310,2006,2.1
171311,2015,6.4
171601,2e3,34.6
171611,2015,3.5
180110,2010,19.3
180230,2010,46.9
180231,2006,6.8
180232,1998,11
180240,2014,21.3
180250,1989,16.5
180309,1989,4.7
180310,1994,54.3
180320,2002,12
180410,1989,30.5
180610,1989,8.9
180710,1994,7.4
181210,2014,6.4
181310,2004,69.7
181410,1999,9.6
181411,2014,22.2
181420,2009,7.4
181910,1999,8.6
