NATID,NATION,PARTYID,PARTY,ENAME,NAME,CMPCODE,id,iso3
13,Austria,3,FPO,Die Freiheitlichen,Freedom Party,42420,13003,AUT
13,Austria,4,GREEN,Die Grune Alternative,Green Alternative,42110,13004,AUT
13,Austria,5,KPO,Kommunistische Partei,Communist Party,NaN,13005,AUT
13,Austria,6,LIB,Liberales Forum,Liberal Party,NaN,13006,AUT
13,Austria,2,OVP,Osterreichische Volkspartei,Austrian Peoples Party,42520,13002,AUT
13,Austria,1,SPO,Sozialistische Partei,Socialist Party,42320,13001,AUT
1,Belgium,5,AGALV,Agalev,Ecologists (Flemish),NaN,1005,BEL
1,Belgium,9,CVP,Christelijke Volkspartij,Christian Peoples Party,21521,1009,BEL
1,Belgium,4,ECOLO,Ecolo,Ecologists (Wallon),NaN,1004,BEL
1,Belgium,11,FDFRW,Front Democratique Francophone,Francophone Democratic Front,21912,1011,BEL
1,Belgium,1,PCB,Parti Communiste Belge,Belgian Communist Party,NaN,1001,BEL
1,Belgium,7,PRL,Parti Reformateur Liberal,Liberal Party (Wallon),21422,1007,BEL
1,Belgium,2,PS,Parti Socialiste,Socialist Party (Wallon),21322,1002,BEL
1,Belgium,8,PSC,Parti Social Chretien,Christian Social Party,21522,1008,BEL
1,Belgium,6,PVV,Vlaamse Liberalen en Demokraten,Liberal Party (Flemish),21421,1006,BEL
1,Belgium,13,ROSS,Rossem,Rossem,NaN,1013,BEL
1,Belgium,15,RVAD,Respect Voor Arbeid en Demokratie,Democratic Union for the Respect of Labour (Fle,NaN,1015,BEL
1,Belgium,3,SP,Socialistiche Partij,Socialist Party (Flemish),21321,1003,BEL
1,Belgium,14,UDRT,Union Democratique pour le Respect pour du Trav,Democratic Union for the Respect of Labour (Wal,NaN,1014,BEL
1,Belgium,12,VB,Vlaams Bloc,Flemish Bloc,NaN,1012,BEL
1,Belgium,10,VU,Volksunie,Peoples Union,21913,1010,BEL
3,Germany,1,CDU,Christlich  Demokratische Union,Christian Democratic Union,41521,3001,DEU
3,Germany,9,CSU,Christlich  Soziale Union,Christian Social Union,41521,3009,DEU
3,Germany,3,FDP,Freie Demokratische Partei,Free Democratic Party,41420,3003,DEU
3,Germany,5,GRUN,Die Grunen,The Greens,41111,3005,DEU
3,Germany,8,KPD,Deutsche Kommunistische Partei,German Communist Party,NaN,3008,DEU
3,Germany,7,PDS,Partei der Demokratischen Sozialismus,Party of Democratic Socialism,41221,3007,DEU
3,Germany,6,REP,Republikaaner,Republican Party,NaN,3006,DEU
3,Germany,2,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party,41320,3002,DEU
2,Denmark,4,CD,Centrum Demokraterne,Centre Democrats,13330,2004,DNK
2,Denmark,9,DKP,Danmarks Kommunistiske Parti,Danish Communist Party,13220,2009,DNK
2,Denmark,10,FK,Faelles Kurs,Common Course,13221,2010,DNK
2,Denmark,13,FP,Fremskridtsparteiet,Progress Party,13951,2013,DNK
2,Denmark,7,GRONN,De Gronne,The Greens,NaN,2007,DNK
2,Denmark,3,KF,Konservative Folkparti,Conservatives,13620,2003,DNK
2,Denmark,11,KRF,Kristeligt Folkparti,Christian Peoples Party,13520,2011,DNK
2,Denmark,5,RETS,Retsforbundet,Justice Party,13952,2005,DNK
2,Denmark,14,RODGRN,Rod Gronne Enhedslisten,Red/Green Unity List,NaN,2014,DNK
2,Denmark,2,RV,Radikale Venstre,Radical Party,13410,2002,DNK
2,Denmark,1,S,Socialdemokratiet,Social Democrats,13320,2001,DNK
2,Denmark,6,SF,Socialistisk Folkparti,Socialist Peoples Party,13230,2006,DNK
2,Denmark,12,V,Venstre,Liberals,13420,2012,DNK
2,Denmark,15,VS,Venstre Socialisterne,Left Socialist Party,13210,2015,DNK
5,Spain,14,BNPG,Bloque Nacionalista Popolar Galego,Galician Nationalist Block,NaN,5014,ESP
5,Spain,3,CDS,Centro Democratico Social,Democratic and Social Center,33512,5003,ESP
5,Spain,5,CIU,Convergencia I Unio,Convergence and Union,33611,5005,ESP
5,Spain,7,EA,Euzko Alkastasuna,Basque Unity,33991,5007,ESP
5,Spain,9,EE,Eukadiko Eskerra,Basque Left,33951,5009,ESP
5,Spain,11,ERC,Esquerra Republicana de Catalunya,Catalan Republican Left,33955,5011,ESP
5,Spain,8,HB,Herri Batasuna,United People,NaN,5008,ESP
5,Spain,4,IU,Izqueirda Unida,United Left,33220,5004,ESP
5,Spain,17,PA,Partido Andalucista,Andalusian Party,NaN,5017,ESP
5,Spain,10,PAR,Partido Aragones Regionalista,Aragonese Regionalist Party,33954,5010,ESP
5,Spain,6,PNV,Partido Nacionalista Vasco,Basque Nationalist Party,NaN,5006,ESP
5,Spain,2,PP,Partido Popular,Popular Party,33610,5002,ESP
5,Spain,1,PSOE,Partido Socialista Obrero Espanol,Spanish Socialist Workers Party,33320,5001,ESP
5,Spain,12,UV,Union Valencia,Valencian Union,NaN,5012,ESP
5,Spain,16,VE,Verdes Ecologistas,Ecologist Greens,NaN,5016,ESP
5,Spain,15,VERDE,Partido Verde,Green Party,NaN,5015,ESP
14,Finland,9,CL,Suomen Kristillinen Liitto,Christian League,14520,14009,FIN
14,Finland,3,CP,Finlands Centern,Center Party,14810,14003,FIN
14,Finland,7,DA,Demokraattinen Vaihtoehto,Democratic Alternative,NaN,14007,FIN
14,Finland,4,FPDU,Suomen Kansan Demokraattinen Liitto,Finnish Peoples Democratic Union,14221,14004,FIN
14,Finland,8,GREEN,Vihrea Liitto,Green Party,14110,14008,FIN
14,Finland,10,LPP,Liberaalinen Kansanpuolue,Liberal Peoples Party,NaN,14010,FIN
14,Finland,2,NC,Kansallinen Kokoomus,National Coalition,14620,14002,FIN
14,Finland,11,PP,Elakelaisten Puolue,Pensioners Party,NaN,14011,FIN
14,Finland,5,RURAL,Maaseudun Puolue,Rural Party,NaN,14005,FIN
14,Finland,1,SDEM,Sosiaalidemokraattinen Puolue,Social Democrats,14320,14001,FIN
14,Finland,6,SPP,Svenska Folkpartiet,Swedish Peoples Party,14951,14006,FIN
14,Finland,13,WOMEN,Naisten Puolue,Womens Party,NaN,14013,FIN
14,Finland,12,YOUNG,Nuorsuomalainen Puolue,Young Peoples Party,NaN,14012,FIN
6,France,10,FN,Front National,National Front,NaN,6010,FRA
6,France,11,GECOLO,Generation Ecologie,Ecology Generation,NaN,6011,FRA
6,France,12,MPF,Movement pour la France,Movement for France,NaN,6012,FRA
6,France,3,MRG,Movement des Radicaux de Gauche,Radical Left Movement,NaN,6003,FRA
6,France,1,PCF,Parti Communiste Francais,French Communist Party,31220,6001,FRA
6,France,2,PS,Parti Socialiste,Socialist Party,31320,6002,FRA
6,France,4,PSU,Parti Socialiste Unifiee,Unified Socialist Party,NaN,6004,FRA
6,France,9,RPR,Rassemblement pour la Republique,Rally for the Republic,31621,6009,FRA
6,France,7,UDFCDS,UDF Centre Democrat et Social,Social and Democratic Center,NaN,6007,FRA
6,France,6,UDFPR,UDF Parti Republican,Republican Party,NaN,6006,FRA
6,France,8,UDFRAD,UDF Radicaux,Radicals,NaN,6008,FRA
6,France,5,VERTS,Les Verts,The Greens,NaN,6005,FRA
4,Greece,5,DIANA,Demokratike Ananeose,DIANA Democratic Renewal,NaN,4005,GRC
4,Greece,9,DKK,Dimokratico Kinonico Kinime,Democratic Social Movement,NaN,4009,GRC
4,Greece,6,IE,Ecologi Enallaktiki,Ecologists Alternatives,NaN,4006,GRC
4,Greece,4,KKE,Kommounistiko Komma Elladas/(KKE),Communist Party of Greece (exterior),34210,4004,GRC
4,Greece,7,NAP,Neo Aristero Revma,New Left Current,NaN,4007,GRC
4,Greece,2,ND,Nea Dimokratia,New Democracy,34511,4002,GRC
4,Greece,1,PASOK,Panellenio Sosialistiko Kinema,Pan Hellenic Socialist Movement,34313,4001,GRC
4,Greece,8,POLAN,Politiki Anixi,Political Spring,NaN,4008,GRC
4,Greece,3,SAP,Synapismos Aristeras kai tis Proodou/(KKI),Left Progressive Alliance/(KKI),34211,4003,GRC
7,Ireland,9,DL,Democratic Left Party,Democratic Left Party,NaN,7009,IRL
7,Ireland,8,DS,Democratic Socialist Party,Democratic Socialist Party,NaN,7008,IRL
7,Ireland,1,FF,Fianna Fail,Warriors of Destiny,53620,7001,IRL
7,Ireland,2,FG,Fine Gael,Tribe of Gaels,53520,7002,IRL
7,Ireland,5,GREEN,Greens,Greens,NaN,7005,IRL
7,Ireland,3,LAB,Labour,Labour,53320,7003,IRL
7,Ireland,6,PDP,Progressive Democratic Party,Progressive Democratic Party,53420,7006,IRL
7,Ireland,7,SF,Sinn Fein,Ourselves,NaN,7007,IRL
7,Ireland,4,WP,Workers Party,Workers Party,53220,7004,IRL
8,Italy,15,CCD,Centro Cristiana Democratico,Christian Democratic Center,NaN,8015,ITA
8,Italy,18,CU,Union della Centro Democratico,Union of the Democratic Center,NaN,8018,ITA
8,Italy,1,DC/PP,Partito Popolare,Christian Democrats/Popular Party,32520,8001,ITA
8,Italy,17,DP,Democrazia Proletaria,Proletarian Democracy,32211,8017,ITA
8,Italy,16,FORZA,Forza Italia,Go Italy,NaN,8016,ITA
8,Italy,12,LEGA,Lega Nord,Northern League,NaN,8012,ITA
8,Italy,5,MSI/AN,Allainza Nationale,National Alliance,32710,8005,ITA
8,Italy,9,PAN,Panella Lista,Pannella List,NaN,8009,ITA
8,Italy,2,PDS,Partito Democratico della Sinistra,Democratic Party of the Left,32220,8002,ITA
8,Italy,10,PLI,Partito Liberale Italiano,Liberal Party,32420,8010,ITA
8,Italy,14,PR,Partito Radicale,Radical Party,32310,8014,ITA
8,Italy,6,PRI,Partito Repubblicano Italiano,Republican Party,32410,8006,ITA
8,Italy,7,PSDI,Partito Socialista Democratica Italiano,Italian Social Democratic Party,32330,8007,ITA
8,Italy,4,PSI,Socialisi Italiani,Italian Socialists,32320,8004,ITA
8,Italy,3,RC,Partito Rifondazione Communista,Refounded Communists,NaN,8003,ITA
8,Italy,13,RETE,La Rete,The Network,NaN,8013,ITA
8,Italy,8,VERDI,Le Liste Verdi,The Green List,32110,8008,ITA
15,Norway,1,AKP,Kommunistiske Parti,Communist Party,12220,15001,NOR
15,Norway,7,FP,Fremskrittspartiet,Progress Party,12951,15007,NOR
15,Norway,6,H_YRE,Hoyre,Right (Conservatives),12620,15006,NOR
15,Norway,5,KFP,Kristelig Folkeparti,Christian Peoples Party,12520,15005,NOR
15,Norway,3,NAP,Norsk Arbeiderparti,Norwegian Labour party,12320,15003,NOR
15,Norway,4,SP,Senter Parti,Center (Agrarian) Party,12810,15004,NOR
15,Norway,2,SV,Sosialistisk Venstreparti,Socialist Left,12221,15002,NOR
15,Norway,8,V,Venstre,Liberals,12420,15008,NOR
12,Portugal,2,CDS,Centre Social Democrats,Social Democratic Center,35314,12002,PRT
12,Portugal,1,CDU,Coligaco Democratica Unitaria,Unified Democratic Coalition,35992,12001,PRT
12,Portugal,12,MDP,Moviements Democratico Portuges,Democratic Movement,35310,12012,PRT
12,Portugal,9,PCTP,Partido Comunista,Communist Party,35220,12009,PRT
12,Portugal,10,PDC,Partido Democracia Cristao,Christian Democratic Party,NaN,12010,PRT
12,Portugal,3,PPM,Partido Popular Monarquico,Popular Monarchist Party,35710,12003,PRT
12,Portugal,4,PRD,Partido Renovador Democratico,Democratic Renewal Party,35312,12004,PRT
12,Portugal,5,PS,Partido Socialista Portugesa,Socialist Party,35311,12005,PRT
12,Portugal,6,PSD,Partido Social Democrata,Social Democratic Party,35313,12006,PRT
12,Portugal,7,PSN,Partido Solidariedade Nacional,National Solidarity Party,NaN,12007,PRT
12,Portugal,8,PSR,Partido Socialista Revolucionario,Revolutionary Socialist Party,NaN,12008,PRT
12,Portugal,11,UDP,Uniao Democratico Popolar,Popular Democratic Union,35210,12011,PRT
12,Portugal,13,VERDES,Os Verdes,The Greens,35110,12013,PRT
16,Sweden,3,CP,Centerpartiet,Center Party,11810,16003,SWE
16,Sweden,4,FPL,Folkpartiet Liberalerna,Liberal Peoples Party,11420,16004,SWE
16,Sweden,7,GRONA,Miljopartiet Grona,Green Ecology Party,11110,16007,SWE
16,Sweden,6,KDS,Kristen Demokratisk Samling,Christian Democratic Community Party,11520,16006,SWE
16,Sweden,5,MOD,Moderate Coalition Party,Moderata Samlingspartiet,11620,16005,SWE
16,Sweden,8,NYDEM,Ny Democratia,New Democrcy,11951,16008,SWE
16,Sweden,2,SD,Socialdemocratistiska,Social Democrats,11320,16002,SWE
16,Sweden,1,V,Vanstrepartiet,Left Party,11220,16001,SWE
9,Luxembou,7,ADR,Aktiounskomitee fir Democratie,Action Committee for Democracy and Pensions,NaN,9007,
17,Switzerl,12,ALTGR,Grune Alternative Schwiez,Alternative Greens,NaN,17012,
17,Switzerl,10,ASP,Partito Socialista Autonomo,Autonomous Socialist Party,NaN,17010,
10,Netherla,9,CD,Centrumdemokraten,Center Democrats,NaN,10009,
10,Netherla,1,CDA,Christen Democratish Appel,Christian Democratic Appeal,22521,10001,
17,Switzerl,1,CDPP,Christlich Demokratische Volkspartei,Christian Democratic Peoples Party,43520,17001,
10,Netherla,12,CPN,Communistische Partij van Nederland,Communist Party,NaN,10012,
9,Luxembou,1,CSVP,Creschtlech sozial vollekspartei,Christian Social Peoples Party,23520,9001,
11,UnitedKd,6,CYMRU,Plaid Cymru,Welsh Nationalist Party,NaN,11006,
10,Netherla,4,D66,Democraten 66,Democrats 66,22330,10004,
9,Luxembou,5,DGA,Di Greng Alternativ,Green Alternative,23112,9005,
9,Luxembou,3,DP,Democratesch Partei,Liberal Party,23420,9003,
10,Netherla,13,EVP,Evangelische Volkspartij,Evangelical Peoples Party,NaN,10013,
17,Switzerl,13,FREE,Freiheits Partei,Freedom Party,NaN,17013,
9,Luxembou,6,GLEI,Greng Lescht Ekologesch Initiativ,Green Left Ecological Initiattive,23111,9006,
10,Netherla,7,GPV,Gereformed Politiek Verbond,Reformed Political Union,NaN,10007,
11,UnitedKd,7,GREEN,Green Party,Green Party,NaN,11007,
17,Switzerl,11,GREEN,Grune Partei der Schweiz,Green Party,NaN,17011,
17,Switzerl,8,INDEP,Alliance des Independents,Independents Party,NaN,17008,
9,Luxembou,4,KPL,Kommunistesch Partei vu Letzbuerg,Communist Party of Luxembourg,23220,9004,
11,UnitedKd,2,LAB,Labour,Labour,51320,11002,
17,Switzerl,7,LAB,Partei der Arbeit der Schweiz,Labour Party (communist),NaN,17007,
17,Switzerl,2,LIB,Liberale Partei,Liberal Party,NaN,17002,
10,Netherla,5,LINKS,Groen Links,Green Left,22110,10005,
9,Luxembou,2,LSAP,Letzbuerger Sozialistesch Arbechterpartei,Socialist Labor Party,23320,9002,
17,Switzerl,9,NAPF,Schweizer Demokraten,Swiss Democrats,NaN,17009,
9,Luxembou,8,NBEW,National Bewegong,National Movement,NaN,9008,
17,Switzerl,6,PPP,Evangelische Volkspartei,Protestant Peoples Party,NaN,17006,
10,Netherla,10,PPR,Politieke Partij Radikalen,Radical Political Party,22310,10010,
10,Netherla,11,PSP,Pacifistische Socialistische Partij,Pacifistic Socialist Party,NaN,10011,
10,Netherla,2,PVDA,Partij van der Arbeid,Labour Party,22320,10002,
17,Switzerl,3,RADDEM,Parti Radical-democratique,Radical Democrats,43420,17003,
10,Netherla,8,RPF,Reformed Political Federation,Reformed Political Federation,NaN,10008,
17,Switzerl,4,SDEM,Sozialdemokratische Partei,Social Democrats,43320,17004,
11,UnitedKd,3,SDLP,Social Democratic Labour Party,Social Democratic Labour Party,NaN,11003,
10,Netherla,6,SGP,Staatkundig Gereformeerde Partij,Political Reformed Party,NaN,10006,
11,UnitedKd,4,SLD,Social and Liberal Democrats,Social and Liberal Democrats,51991,11004,
11,UnitedKd,5,SNP,Scottish National Party,Scottish National Party,NaN,11005,
17,Switzerl,5,SPP,Schweizerische Volkspartei,Swiss Peoples Party,43810,17005,
17,Switzerl,14,TICI,Lega dei Ticinesi,Ticino League,NaN,17014,
11,UnitedKd,1,TORY,Conservative Party,Conservative Party,51620,11001,
11,UnitedKd,8,UNION,Unionist,Unionist,52620,11008,
10,Netherla,3,VVD,Volkspartij voor Vrijheid en Democratie,Liberal Party,22420,10003,
